source,bill_id,top_level_value,candidate_texts_json,candidate_evidence_json
popular,hr11-102,Enterprise Zones (Urban Aid) bill,"[""Enterprise Zones (Urban Aid) bill"",""Homebuyer (tax credit) bill"",""Individual Retirement Accounts (First Time Homebuyer) bill"",""Luxury tax on boats bill"",""Revenue Act bill"",""Urban Aid (enterprise zones) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Enterprise Zones (Urban Aid) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Homebuyer (tax credit) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Individual Retirement Accounts (First Time Homebuyer) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Luxury tax on boats bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Revenue Act bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Urban Aid (enterprise zones) bill"",""type"":""popular""}]"
popular,hr388-102,Boating/Recreational Vessels (User Fee) bill,"[""Boating/Recreational Vessels (User Fee) bill"",""User Fee (Boating/Recreational Vessels) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Boating/Recreational Vessels (User Fee) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""User Fee (Boating/Recreational Vessels) bill"",""type"":""popular""}]"
popular,hr392-102,Family Planning (Title X/Gag Order) bill,"[""Family Planning (Title X/Gag Order) bill"",""Gag Order (Title X-Pregnancy Counseling) bill"",""Gag Order (Title X/Family Planning) bill"",""Title X (Family Planning) bill"",""Title X (Family Planning/Gag Order) bill"",""Title X-Pregnancy Counseling (Gag Order) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Family Planning (Title X/Gag Order) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Gag Order (Title X-Pregnancy Counseling) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Gag Order (Title X/Family Planning) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Title X (Family Planning) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Title X (Family Planning/Gag Order) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Title X-Pregnancy Counseling (Gag Order) bill"",""type"":""popular""}]"
popular,hr446-102,CAFE (Motor Vehicle Fuel Efficiency) bill,"[""CAFE (Motor Vehicle Fuel Efficiency) bill"",""Motor Vehicle Fuel Efficiency (CAFE) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""CAFE (Motor Vehicle Fuel Efficiency) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Motor Vehicle Fuel Efficiency (CAFE) bill"",""type"":""popular""}]"
popular,hr534-102,Boating/Recreational Vessels (User Fee) bill,"[""Boating/Recreational Vessels (User Fee) bill"",""User Fee (Boating/Recreational Vessels) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Boating/Recreational Vessels (User Fee) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""User Fee (Boating/Recreational Vessels) bill"",""type"":""popular""}]"
popular,hr612-102,CAFE (Motor Vehicle Fuel Efficiency) bill,"[""CAFE (Motor Vehicle Fuel Efficiency) bill"",""Motor Vehicle Fuel Efficiency (CAFE) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""CAFE (Motor Vehicle Fuel Efficiency) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Motor Vehicle Fuel Efficiency (CAFE) bill"",""type"":""popular""}]"
popular,hr747-102,Education Loans Deduction bill,"[""Education Loans Deduction bill"",""Student Loan Deduction for Interest bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Education Loans Deduction bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Student Loan Deduction for Interest bill"",""type"":""popular""}]"
popular,hr776-102,Energy bill,"[""Energy bill"",""Energy Security/Oil Independence bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Energy bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Energy Security/Oil Independence bill"",""type"":""popular""}]"
popular,hr1231-102,Fast Track (Mexico-Free Trade) bill,"[""Fast Track (Mexico-Free Trade) bill"",""Mexico-Free Trade (Fast Track) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Fast Track (Mexico-Free Trade) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Mexico-Free Trade (Fast Track) bill"",""type"":""popular""}]"
popular,hr1490-102,Abortion (Parental Notification) bill,"[""Abortion (Parental Notification) bill"",""Parental Notification (Abortion) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Abortion (Parental Notification) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Parental Notification (Abortion) bill"",""type"":""popular""}]"
