bill_id,official_title,short_title
hr5148-114,"To amend the Department of Education Organization Act and the Higher Education Act of 1965 to require publication of information relating to religious exemptions to the requirements of title IX of the Education Amendments of 1972, and for other purposes.","To amend the Department of Education Organization Act and the Higher Education Act of 1965 to require publication of information relating to religious exemptions to the requirements of title IX of the Education Amendments of 1972, and for other purposes."
s764-114,"A bill to reauthorize and amend the National Sea Grant College Program Act, and for other purposes.","A bill to reauthorize and amend the National Sea Grant College Program Act, and for other purposes."
